wager_datetime,customer_id,draw_no
2020-12-10 16:50:11.646332,27503894,432
2020-12-10 14:57:54.027839,27337200,432
2020-12-04 11:10:46.213271,27421151,432
2020-12-02 13:14:15.852586,27430692,432
2020-11-11 10:44:14.221775,27332595,432
2020-10-10 10:51:09.759300,27418307,432
2020-10-31 12:14:14.174366,17368942,432
2020-10-23 12:22:58.816325,17449957,432
2020-10-10 10:45:32.301575,17319782,432
2020-12-10 15:29:03.864285,27316903,432
2020-12-10 16:53:30.296589,27394578,432
2020-12-10 14:37:09.607779,27503682,432
2020-12-10 14:33:46.741535,27503679,432
2020-12-10 14:45:10.754043,27337200,432
2020-12-10 14:32:03.342093,27370308,432
2020-12-10 14:30:20.486408,27409666,432
2020-12-10 14:16:23.949186,27378880,432
2020-12-10 14:15:20.495814,27368930,432
2020-12-10 14:10:42.110638,27343848,432
2020-12-10 14:01:56.286081,27503629,432
2020-12-10 13:58:08.311738,27503626,432
2020-12-10 13:55:52.954356,27503622,432
2020-12-10 15:08:47.113278,27503714,432
2020-12-10 16:10:37.660724,27427281,432
2020-12-10 16:09:32.935596,27447791,432
2020-12-10 15:58:00.803683,27503795,432
2020-12-10 14:42:39.361436,27381654,432
2020-12-10 14:40:03.662565,27394533,432
2020-12-10 12:35:49.144596,27433957,432
2020-12-10 13:39:47.126663,27503602,432
2020-12-10 12:35:45.050535,27503510,432
2020-12-10 12:06:57.410228,27393539,432
2020-12-10 13:22:27.054852,27429201,432
2020-12-10 13:52:49.343044,27419407,432
2020-12-10 13:51:06.691806,27320052,432
2020-12-10 13:49:16.774597,27409874,432
2020-12-10 13:47:25.633012,27503617,432
2020-12-10 11:49:58.059468,27503447,432
2020-12-10 13:07:49.012213,27503546,432
2020-12-10 13:03:16.628178,27401307,432
2020-12-10 11:32:31.626204,27344244,432
2020-12-10 11:30:58.542346,27322822,432
2020-12-10 11:44:20.307267,27426534,432
2020-12-10 11:26:13.302561,27385060,432
2020-12-10 11:18:02.922630,27421369,432
2020-12-10 12:56:43.720076,27503536,432
2020-12-10 11:42:32.576217,27349823,432
2020-12-10 11:40:40.418964,27430348,432
2020-12-10 12:23:23.121089,27503495,432
2020-12-10 12:45:37.722567,27375680,432
2020-12-10 11:10:05.718797,27503392,432
2020-12-10 11:07:25.538619,27442195,432
2020-12-10 11:06:40.635238,27497488,432
2020-12-10 11:04:31.066893,27371434,432
2020-12-10 11:01:26.662767,27467363,432
2020-12-10 12:21:27.061428,27325681,432
2020-12-10 10:47:40.829483,27378231,432
